대분류,기능,요구사항ID,기능 설명,Method,Resource,입력값,출력값,FE,EM,반영 여부
회원관리,"회원가입(환자, 보호자)","FR-U01.1, FR-U01.5","사용자가 아이디, 비밀번호, 이름, 전화번호를 입력하여 계정을 생성합니다.",POST,/auth/patients,"아이디, 비밀번호, 이름, 전화번호",회원 가입 성공 여부,Yes,No,Yes
회원관리,회원가입(의사),"FR-U01.4, FR-U01.5",의사는 일반 사용자와 달리 의사 인증을 해야 계정을 생성할 수 있습니다.,POST,/auth/doctors,"아이디, 비밀번호, 이름, 전화번호, 의사 인증 번호",회원 가입 성공 여부,Yes,No,Yes
회원관리,로그인,"FR-U01.5, FR-U01.6",계정 로그인 기능 입니다.,POST,/auth/sessions,"아이디, 비밀번호",로그인 성공 여부 및 로그인 토큰,Yes,Yes,Yes
회원관리,비밀번호 재확인,FR-U01.4,개인정보 수정 시 로그인된 유저의 비밀번호를 한번 더 확인합니다.,POST,/auth/verify-password,"로그인 토큰, 비밀번호 문자열",일치 여부,Yes,No,Yes
회원관리,로그아웃,FR-U01.5,클라이언트를 로그아웃 시킵니다.(JWT 토큰 블랙리스트에 추가),DELETE,/auth/sessions,로그인 토큰,로그아웃 성공 여부,Yes,No,Yes
회원관리,의사 인증 api,FR-U01.4,의사 면허 번호를 확인합니다.,POST,/auth/verify-doctor-license,의료 면허 번호,인증 여부,Yes,No,Yes
회원관리,사용자 ID 중복 여부 확인,FR-U01.5,id 중복을 확인합니다.,POST,/auth/check-duplicate-id,중복 확인을 확인할 id,중복 여부,Yes,No,No
진단권유시스템,음성 진단 기능,"FR-S01.1, FR-U02.6",음성 파일을 입력 받으면 내부 기능을 통해 특징 추출 및 진단 수행합니다.,POST,/screening,음성 파일,"음성 특징 값, 진단 모델 출력 결과",Yes,No,No
발성트레이닝,기본 훈련 음성 파일 제출 및 분석 결과 제공,FR-U03.3,기본 훈련 음성 파일을 받아서 분석을 하고 분석 결과를 보내줍니다.,POST,/training/basic,"음성 파일, 사용자 정보(또는 토큰)","음성 특징 값, 진단 모델 출력 결과",No,Yes,No
발성트레이닝,심화 훈련 결과 등록,FR-U03.3,심화 훈련 결과를 전송합니다.,POST,/training/advanced,"훈련 점수, 토큰",등록 성공 여부,No,Yes,No
대시보드,환자/보호자용 대시보드 전체 데이터 조회,"FR-U04.2, FR-U04.5",환자/보호자가 확인하는 정보를 조회할 수 있도록 합니다.,GET,/dashboard,로그인 토큰,대시 보드 출력에 필요한 모든 정보(세부 사항은 내용 확인),Yes,Yes,No
